Audience segment report
"April 18, 2023 - October 8, 2023"
Segment status,Audience segment,Type,Campaign,Ad group,Status,Status reasons,Level,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Women's Media Fans,Affinity segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,1,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Men's Media Fans,Affinity segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,1,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,All Converters,Website visitors,Search_Campaign_AUS, --,Eligible,,Campaign, +10%,"1,272",174,13.68%,AUD,2.92,508.01,13.18%,22.94,22.14
Enabled,Yoga Apparel,In-market segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,9,1,11.11%,AUD,0.98,0.98,0.00%,0.00,0.00
Enabled,Sports Fans,Affinity segment,Search_Campaign_AUS, --,Eligible,,Campaign, +10%,"6,141",784,12.77%,AUD,2.54,1993.97,13.84%,108.54,18.37
Enabled,Winter Sports Enthusiasts,Affinity segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Outerwear,In-market segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,5,1,20.00%,AUD,2.11,2.11,0.00%,0.00,0.00
Enabled,Health & Fitness Buffs,Affinity segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,11,1,9.09%,AUD,0.89,0.89,0.00%,0.00,0.00
Enabled,Swimming Enthusiasts,Affinity segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Outdoor Enthusiasts,Affinity segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,21,4,19.05%,AUD,1.11,4.42,0.00%,0.00,0.00
Enabled,Men's Apparel,In-market segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,6,2,33.33%,AUD,2.67,5.34,0.00%,0.00,0.00
Enabled,All Users,Website visitors,Search_Campaign_AUS, --,Eligible,,Campaign, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Sports & Fitness,In-market segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,86,8,9.30%,AUD,1.25,10.02,4.51%,0.36,27.79
Enabled,Tennis Enthusiasts,Affinity segment,Search_Campaign_AUS,DSA - Website Visitiors,Eligible,,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Women's Apparel,In-market segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,13,1,7.69%,AUD,3.87,3.87,0.00%,0.00,0.00
Enabled,Apparel & Accessories,In-market segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,189,26,13.76%,AUD,2.34,60.90,0.00%,0.00,0.00
Enabled,All visitors (AdWords),Website visitors,Search_Campaign_AUS, --,Eligible,,Campaign, --,23,2,8.70%,AUD,5.17,10.34,0.00%,0.00,0.00
Enabled,Cycling Enthusiasts,Affinity segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Sports & Fitness,Affinity segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,7,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,AdWords optimized list,Custom combination segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,20,3,15.00%,AUD,3.35,10.05,33.33%,1.00,10.05
Enabled,Camping & Hiking Equipment,In-market segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,6,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Running Apparel,In-market segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,13,1,7.69%,AUD,0.24,0.24,0.00%,0.00,0.00
Enabled,Tennis Enthusiasts,Affinity segment,Search_Campaign_US,DSA - Website Visitiors,Not eligible,Ad group paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Tennis Enthusiasts,Affinity segment,Search_Campaign_US,DSA - Search/Website Categories,Not eligible,Ad group paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Travel Buffs,Affinity segment,Search_Campaign_US, --,Eligible,,Campaign, --,458,3,0.66%,AUD,1.13,3.40,0.00%,0.00,0.00
Enabled,Winter Sports Enthusiasts,Affinity segment,Search_Campaign_US, --,Eligible,,Campaign, --,158,1,0.63%,AUD,0.21,0.21,0.00%,0.00,0.00
Enabled,Men's Apparel,In-market segment,Search_Campaign_US, --,Eligible,,Campaign, --,"2,391",11,0.46%,AUD,4.14,45.54,54.55%,6.00,7.59
Enabled,Women's Media Fans,Affinity segment,Search_Campaign_US, --,Eligible,,Campaign, --,439,2,0.46%,AUD,8.46,16.93,50.00%,1.00,16.93
Enabled,Sports & Fitness,In-market segment,Search_Campaign_US, --,Eligible,,Campaign, --,"1,740",15,0.86%,AUD,4.65,69.81,273.33%,41.00,1.70
Enabled,Men's Media Fans,Affinity segment,Search_Campaign_US, --,Eligible,,Campaign, --,235,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Women's Apparel,In-market segment,Search_Campaign_US, --,Eligible,,Campaign, --,"1,792",10,0.56%,AUD,2.73,27.30,110.00%,11.00,2.48
Enabled,Sports Fans,Affinity segment,Search_Campaign_US, --,Eligible,,Campaign, --,"6,818",6,0.09%,AUD,0.49,2.95,16.67%,1.00,2.95
Enabled,AdWords optimized list,Custom combination segment,Search_Campaign_US, --,Eligible,,Campaign, --,31,1,3.23%,AUD,2.12,2.12,100.00%,1.00,2.12
Enabled,Outdoor Enthusiasts,Affinity segment,Search_Campaign_US, --,Eligible,,Campaign, --,"1,557",7,0.45%,AUD,5.70,39.92,14.29%,1.00,39.92
Enabled,Sports & Fitness,Affinity segment,Search_Campaign_US, --,Eligible,,Campaign, +10%,"9,459",529,5.59%,AUD,4.87,2573.64,298.68%,"1,580.00",1.63
Enabled,Travel,Affinity segment,Search_Campaign_US, --,Eligible,,Campaign, --,213,5,2.35%,AUD,9.12,45.61,160.00%,8.00,5.70
Enabled,Running Enthusiasts,Affinity segment,Search_Campaign_US, --,Eligible,,Campaign, --,196,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
